Height,Width,Thickness,Efficiency,Cleaned Efficiency,Model,N/A,N/A,N/A,Power output
1018,990,25,14.88 ~ 15.88 ,15.88,LW160P72-1/2,NaN,NaN,,338.0083
1014,992,35,14.91 ~ 15.91 ,15.91,SV36 150-160,NaN,NaN,,337.9977
1012,990,40,13.47 ~ 15.97 ,15.97,GC 140-165 POLY 36-6,NaN,NaN,,337.9205
1190,1067,46.5,12.6,12.6,TSM(8x9) 160,NaN,NaN,,337.8904
1160,992,35,0.139,13.9,SH-160P6,NaN,NaN,,337.8146
1178,989,39,13.7,13.7,FM150p (160 Wp),NaN,NaN,,337.0979
1178,989,39,13.7,13.7,FM150m (160 Wp),NaN,NaN,,337.0979
920,670,30,0.172,17.2,P6-90,NaN,NaN,,335.8739
920,670,30,16.8 ~ 17.2 ,17.2,SLS085-90P,NaN,NaN,,335.8739
1008,668,70,0.157,15.7,TS-FR200M,NaN,NaN,,334.9051
1020,670,35,14.72 ~ 15.45 ,15.45,BW-SM100-105P24,NaN,NaN,,334.4942
1010,670,30,15.2 ~ 15.6 ,15.6,SD-36P 90-100,NaN,NaN,,334.4306
1020,670,30,0.154,15.4,FSM-100P,NaN,NaN,,333.4117
1000,670,30,14.2 ~ 15.7 ,15.7,ED95-100-105-6P,NaN,NaN,,333.2419
1000,670,30,14.9 ~ 15.7 ,15.7,ED100-105-6M,NaN,NaN,,333.2419
1000,670,30,14.9 ~ 15.7 ,15.7,MY100~105M6-36,NaN,NaN,,333.2419
1000,670,30,14.2 ~ 15.7 ,15.7,MY095~105P6-36,NaN,NaN,,333.2419
1196,545,35,13.81 ~ 16.11 ,16.11,AS-5M18 90-105,NaN,NaN,,332.666
1196,545,35,13.81 ~ 16.11 ,16.11,ST36M90-105,NaN,NaN,,332.666
1000,665,30,14.29 ~ 15.79 ,15.79,SKT95-105P-12,NaN,NaN,,332.6511
1195,541,35,13.92 ~ 16.24 ,16.24,SI-ESF-M-P125-36,NaN,NaN,,332.6108
1195,541,35,13.92 ~ 16.24 ,16.24,SI-ESF-M-M125-36,NaN,NaN,,332.6108
1195,540,35,13.84 ~ 16.27 ,16.27,CJ125ME-(85-105)W,NaN,NaN,,332.6093
1127,676,35,0.1378,13.78,SI-ESF-M-NE-P-105W,NaN,NaN,,332.5868
1127,676,35,0.1378,13.78,SI-ESF-M-NE-M-105W,NaN,NaN,,332.5868
1127,676,35,0.1378,13.78,AE10/20/40P(36),NaN,NaN,,332.5868
531,992,50,15.18 ~ 19.93 ,19.93,JST80-105P(18),NaN,NaN,,332.5819
1120,668,35,0.1403,14.03,SL105TU-18MD,NaN,NaN,,332.535
1120,668,35,0.1403,14.03,Off Grid 105W,NaN,NaN,,332.535
1120,668,35,0.1403,14.03,SL105TU-18P,NaN,NaN,,332.535
1005,665,30,15 ~ 15.7 ,15.7,SW100-105M,NaN,NaN,,332.4088
1030,670,35,14.5 ~ 15.2 ,15.2,GSAP6-100/105W,NaN,NaN,,332.308
1012,990,50,14.7 ~ 15.7 ,15.7,GS 145-155 MONO 36-6,NaN,NaN,,332.2074
1012,990,50,14.7 ~ 15.7 ,15.7,HT-3-280W-P,NaN,NaN,,332.2074
1178,989,39,13.5,13.5,LPG-153-3S(157),NaN,NaN,,332.1768
1150,675,35,12.2 ~ 13.5 ,13.5,DJ-95P-105P,NaN,NaN,,331.9866
990,740,25,13.6 ~ 14.3 ,14.3,BP-M100-105P-17b,NaN,NaN,,331.8854
1006,676,30,13.21 ~ 15.4 ,15.4,SDP-100-105,NaN,NaN,,331.7803
1006,676,30,13.21 ~ 15.4 ,15.4,PS-P636 100-105W,NaN,NaN,,331.7803
1175,540,25,0.165,16.5,DFSP-100M,NaN,NaN,,331.6658
1020,670,30,0.153,15.3,FSM-100М,NaN,NaN,,331.2467
1040,670,35,0.15,15,80W Cut Solar Module,NaN,NaN,,331.1194
950,670,30,0.1642,16.415,SP100-12M,NaN,NaN,,330.9973
1190,540,35,12.67 ~ 16.24 ,16.24,HSMS 80-100M36-18V,NaN,NaN,,330.6069
1190,540,35,12.67 ~ 16.24 ,16.24,JNMS80-100M36-18V,NaN,NaN,,330.6069
1190,540,35,12.67 ~ 16.24 ,16.24,F-5-90M,NaN,NaN,,330.6069
1188,999,40,13.1,13.1,WSP-150P6(155),NaN,NaN,,328.3576
1195,1066,46,12.2,12.2,SDM-170/155-72MS,NaN,NaN,,328.2304
1020,670,35,0.1515,15.15,HY100-12MB,NaN,NaN,,327.9992
1004,668,35,0.1543,15.43,MSP100AS-18,NaN,NaN,,327.8395
1004,668,35,0.1543,15.43,HNM-FLX 20-95W,NaN,NaN,,327.8395
